Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001bqj6MAAQ,2/17/2017,,2/11/2021,Evergreen,0
0013a00001bqjb8AAA,7/18/2019,7/18/2022,7/18/2019,Renewable,1
0013a00001bqjC2AAI,7/18/2018,11/30/2022,12/1/2020,Renewable,1
0013a00001bqjC7AAI,11/10/2016,,11/10/2016,Evergreen,0
0013a00001bqjeWAAQ,11/26/2018,,11/26/2018,Evergreen,0
0013a00001bqjFfAAI,12/9/2015,8/9/2023,8/10/2020,Renewable,1
0013a00001bqjkoAAA,11/24/2018,,11/24/2018,Evergreen,0
0013a00001bqjPvAAI,7/18/2019,,7/18/2019,Evergreen,0
0013a00001bqjrpAAA,10/29/2015,12/27/2023,12/28/2020,Renewable,1
0013a00001bqjX6AAI,7/18/2019,7/18/2022,7/18/2019,Renewable,1
0013a00001bqjXLAAY,11/21/2018,,2/2/2021,Evergreen,0
0013a00001bqjXMAAY,5/9/2019,5/10/2024,5/11/2021,Renewable,1
0013a00001bqkaSAAQ,6/5/2018,3/4/2023,9/1/2021,Renewable,1
0013a00001bqkL3AAI,7/18/2019,7/18/2021,7/19/2020,Renewable,1
0013a00001bqkMzAAI,2/22/2019,7/21/2024,7/22/2021,Renewable,1
0013a00001bqkRfAAI,7/22/2019,7/22/2024,7/23/2021,Renewable,1
0013a00001bqkZZAAY,10/12/2017,,10/12/2017,Evergreen,0
0013a00001bql1aAAA,9/29/2017,,9/29/2017,Evergreen,0
0013a00001bql1fAAA,9/27/2018,,9/27/2018,Evergreen,0
0013a00001bql1kAAA,7/3/2017,4/29/2024,4/30/2021,Renewable,1
0013a00001bql1VAAQ,1/23/2019,,1/23/2019,Evergreen,0
0013a00001bql2xAAA,8/21/2017,2/3/2020,8/21/2017,Evergreen,0
0013a00001bql37AAA,8/1/2019,7/29/2024,7/30/2021,Renewable,1
0013a00001bql90AAA,5/18/2018,,5/18/2018,Evergreen,0
0013a00001bqlaHAAQ,4/25/2017,,3/17/2021,Evergreen,0
0013a00001bqlAxAAI,11/16/2018,11/15/2024,11/16/2021,Renewable,1
0013a00001bqlbZAAQ,3/22/2018,,3/17/2021,Evergreen,0
0013a00001bqlhmAAA,7/22/2019,7/22/2022,7/22/2019,Renewable,1
0013a00001bqlj9AAA,7/13/2017,,7/13/2017,Evergreen,0
